account_id,account_name,industry,segment,region,billing_country,usage_date,workspace_days_reporting,active_users,projects_run,api_calls,alerts_sent,max_storage_gb,avg_storage_gb
A1001,Helio Systems,healthcare,mid_market,EMEA,NL,2025-06-07,3,4,18,848,4,29.2,25.03333333333333
A1002,Summit Foods,media,mid_market,NA,US,2025-06-13,3,5,33,1709,8,32.6,25.766666666666666
A1002,Summit Foods,media,mid_market,NA,US,2025-06-23,3,8,41,2293,9,33.6,26.666666666666668
A1003,Nova Ventures,manufacturing,enterprise,NA,US,2025-06-10,2,8,52,3299,9,60.0,50.7
A1003,Nova Ventures,manufacturing,enterprise,NA,US,2025-06-20,2,10,50,2777,12,61.5,52.7
A1005,Pacific Labs,manufacturing,enterprise,EMEA,UK,2025-06-24,3,9,73,3955,12,58.8,51.166666666666664
A1006,Helio Works,education,mid_market,EMEA,UK,2025-06-06,2,3,22,1178,4,27.0,23.6
A1006,Helio Works,education,mid_market,EMEA,UK,2025-06-15,2,4,16,1026,3,29.0,25.3
A1007,Silver Systems,energy,smb,EMEA,FR,2025-06-03,1,3,12,697,2,20.6,20.6
A1008,Pacific Works,software,mid_market,EMEA,UK,2025-06-04,3,9,53,3303,11,21.2,19.666666666666668
A1008,Pacific Works,software,mid_market,EMEA,UK,2025-06-09,3,9,51,2984,9,20.8,20.033333333333335
A1010,Orchid Foods,education,smb,NA,CA,2025-06-03,1,6,23,1050,3,23.2,23.2
A1011,Vertex Energy,software,smb,NA,CA,2025-06-16,1,5,21,1513,5,24.5,24.5
A1011,Vertex Energy,software,smb,NA,CA,2025-06-21,1,2,6,405,2,26.5,26.5
A1011,Vertex Energy,software,smb,NA,CA,2025-06-25,1,4,17,1264,3,26.0,26.0
A1012,Cedar Ventures,retail,smb,APAC,JP,2025-06-02,2,2,13,813,3,22.1,16.0
A1013,River Foods,manufacturing,mid_market,NA,US,2025-06-10,3,3,33,1594,6,25.1,22.133333333333336
A1013,River Foods,manufacturing,mid_market,NA,US,2025-06-20,3,6,39,2058,9,25.2,22.733333333333334
A1016,BluePeak Capital,energy,enterprise,EMEA,DE,2025-06-17,4,13,94,5794,20,65.0,51.0
A1017,Summit Analytics,financial_services,mid_market,EMEA,UK,2025-06-10,2,6,39,2303,9,30.9,30.35
A1017,Summit Analytics,financial_services,mid_market,EMEA,UK,2025-06-20,2,4,25,1221,6,32.5,32.2
A1019,Sierra Systems,education,smb,APAC,JP,2025-06-24,2,2,16,880,2,16.4,14.299999999999999
A1021,Apex Logistics,software,smb,NA,US,2025-06-12,1,5,17,1176,3,21.2,21.2
A1022,Summit Collective,retail,smb,APAC,NZ,2025-06-02,2,2,13,596,3,13.0,12.1
A1023,Atlas Systems,education,smb,NA,CA,2025-06-11,1,5,21,1227,3,12.9,12.9
A1023,Atlas Systems,education,smb,NA,CA,2025-06-19,1,6,24,1193,4,14.4,14.4
A1024,Sierra Group,manufacturing,smb,NA,CA,2025-06-02,2,5,26,1682,7,15.6,15.0
A1025,Bright Capital,education,smb,EMEA,UK,2025-06-11,1,3,14,915,3,23.0,23.0
