HOST_ID,is_currently_superhost,current_superhost_tenure,acct_age_before_achieving_superhost,status_change_count,last_status_change_at
1581,false,,3800,2,2025-01-01 00:00:00
2164,true,151,0,2,2025-01-01 00:00:00
2217,true,151,0,2,2025-01-01 00:00:00
3718,false,,5475,2,2025-01-01 00:00:00
11622,false,,951,2,2025-01-01 00:00:00
12360,true,151,0,2,2025-01-01 00:00:00
12424,false,,936,2,2025-01-01 00:00:00
15115,false,,3437,2,2025-01-01 00:00:00
17391,true,151,0,2,2025-01-01 00:00:00
22901,false,,3983,2,2025-01-01 00:00:00
32299,false,,929,2,2025-01-01 00:00:00
32918,false,,2650,2,2025-01-01 00:00:00
33355,false,,4020,2,2025-01-01 00:00:00
33852,false,,3229,2,2025-01-01 00:00:00
35103,false,,2371,2,2025-01-01 00:00:00
48159,false,,1824,2,2025-01-01 00:00:00
54283,true,151,0,2,2025-01-01 00:00:00
55531,true,151,0,2,2025-01-01 00:00:00
60495,false,,946,2,2025-01-01 00:00:00
64696,false,,5116,2,2025-01-01 00:00:00
68997,false,,5227,2,2025-01-01 00:00:00
71331,false,,4268,2,2025-01-01 00:00:00
71913,false,,3469,2,2025-01-01 00:00:00
73158,false,,2352,2,2025-01-01 00:00:00
84157,false,,3101,2,2025-01-01 00:00:00
86159,false,,4811,2,2025-01-01 00:00:00
86173,false,,4744,2,2025-01-01 00:00:00
87357,true,151,0,2,2025-01-01 00:00:00
94918,false,,5120,2,2025-01-01 00:00:00
98237,false,,2219,2,2025-01-01 00:00:00
99662,false,,5005,2,2025-01-01 00:00:00
102461,true,151,0,2,2025-01-01 00:00:00
109039,false,,937,2,2025-01-01 00:00:00
112168,false,,2532,2,2025-01-01 00:00:00
112675,true,151,0,2,2025-01-01 00:00:00
119815,false,,2160,2,2025-01-01 00:00:00
133204,false,,2925,2,2025-01-01 00:00:00
134583,false,,2843,2,2025-01-01 00:00:00
143180,false,,5038,2,2025-01-01 00:00:00
145583,false,,2782,2,2025-01-01 00:00:00
145808,false,,4492,2,2025-01-01 00:00:00
147778,false,,3617,2,2025-01-01 00:00:00
149093,true,151,0,2,2025-01-01 00:00:00
151200,true,151,0,2,2025-01-01 00:00:00
151248,true,151,0,2,2025-01-01 00:00:00
156897,false,,4277,2,2025-01-01 00:00:00
158127,false,,2703,2,2025-01-01 00:00:00
159734,false,,5063,2,2025-01-01 00:00:00
160191,false,,2801,2,2025-01-01 00:00:00
161221,true,151,0,2,2025-01-01 00:00:00
161823,false,,2883,2,2025-01-01 00:00:00
161864,false,,1738,2,2025-01-01 00:00:00
162648,true,151,0,2,2025-01-01 00:00:00
163384,false,,5017,2,2025-01-01 00:00:00
164321,false,,2134,2,2025-01-01 00:00:00
166294,false,,929,2,2025-01-01 00:00:00
171057,false,,3674,2,2025-01-01 00:00:00
174970,false,,4453,2,2025-01-01 00:00:00
179110,false,,5043,2,2025-01-01 00:00:00
179872,false,,3540,2,2025-01-01 00:00:00
186851,true,151,0,2,2025-01-01 00:00:00
187941,false,,2998,2,2025-01-01 00:00:00
194957,false,,5003,2,2025-01-01 00:00:00
196413,false,,3449,2,2025-01-01 00:00:00
201786,false,,1069,2,2025-01-01 00:00:00
201936,true,151,0,2,2025-01-01 00:00:00
203248,false,,954,2,2025-01-01 00:00:00
204484,false,,1711,2,2025-01-01 00:00:00
206108,false,,3308,2,2025-01-01 00:00:00
