message_reaction_id,message_id,message_date,message_datetime,channel_name,reaction_name,reaction_name_normalised,reaction_user,extracted_datetime
a85cde25d5fbee1b387c962bca7d4a43,588f8ea0-bb97-49d0-9844-fd2261fec631,2024-08-01,2024-08-01 12:46:19,random,"""raised_hands""","""raised_hands""","""UN979RN92""",2024-08-01 13:06:07
afdb5bf7780964b39e77a3a88dccdc03,588f8ea0-bb97-49d0-9844-fd2261fec631,2024-08-01,2024-08-01 12:46:19,random,"""raised_hands""","""raised_hands""","""UKA77QAYY""",2024-08-01 13:06:07
dceeb40910e525309640ba96597abcb7,588f8ea0-bb97-49d0-9844-fd2261fec631,2024-08-01,2024-08-01 12:46:19,random,"""raised_hands""","""raised_hands""","""UU95TZPYP""",2024-08-01 13:06:07
6c28af2719b4070f1cc5fce5caa49525,588f8ea0-bb97-49d0-9844-fd2261fec631,2024-08-01,2024-08-01 12:46:19,random,"""raised_hands""","""raised_hands""","""UP9T7VJBF""",2024-08-01 13:06:07
64c79e870cc6e1198e9e5aa059debc19,588f8ea0-bb97-49d0-9844-fd2261fec631,2024-08-01,2024-08-01 12:46:19,random,"""raised_hands""","""raised_hands""","""UL92954KA""",2024-08-01 13:06:07
978ec053d5038cee55e6f432dc286517,82e710eb-abbc-450c-b8a9-e341d5b063a7,2024-10-10,2024-10-10 16:14:26,engineering,"""raised_hands""","""raised_hands""","""UNVWFC5Q1""",2024-10-10 16:51:11
b9654f2035cb76624e763a0f71d92923,82e710eb-abbc-450c-b8a9-e341d5b063a7,2024-10-10,2024-10-10 16:14:26,engineering,"""raised_hands""","""raised_hands""","""UO513ARUP""",2024-10-10 16:51:11
ab28cc3de547e0116c052f3c8a473ad4,8a976bf4-5da3-43f0-aba9-bb477afc727a,2025-03-22,2025-03-22 02:08:18,marketing,"""approved""","""approved""","""UIDQ8QXI5""",2025-03-22 02:33:23
3d8ed3aedd51372fa6dbb5a3a8fcf2b4,8a976bf4-5da3-43f0-aba9-bb477afc727a,2025-03-22,2025-03-22 02:08:18,marketing,"""approved""","""approved""","""UQY0NPYWN""",2025-03-22 02:33:23
2cfb8d3e6edece1fc6825d33469cc1d6,8a976bf4-5da3-43f0-aba9-bb477afc727a,2025-03-22,2025-03-22 02:08:18,marketing,"""approved""","""approved""","""U9YFOYM78""",2025-03-22 02:33:23
e29584a7fcba40d3ed8165e6cc92e96a,8b030ce5-e2a7-49fb-9eac-1e4ec76e5e89,2024-11-09,2024-11-09 03:50:11,marketing,"""approved""","""approved""","""UJ65P6F44""",2024-11-09 04:40:18
f1ad8494313b21c6a50d471df671eb63,8b030ce5-e2a7-49fb-9eac-1e4ec76e5e89,2024-11-09,2024-11-09 03:50:11,marketing,"""approved""","""approved""","""U378U76S4""",2024-11-09 04:40:18
c824f87b703d118479d6d97eb043f2a2,72953848-057e-4fb7-815d-907819180cf0,2025-11-24,2025-11-24 14:50:39,random,"""approved""","""approved""","""UU95TZPYP""",2025-11-24 15:23:13
6a20d66b3b7b0c8f6b22bb1c689b5df1,72953848-057e-4fb7-815d-907819180cf0,2025-11-24,2025-11-24 14:50:39,random,"""approved""","""approved""","""UB51ZBPGJ""",2025-11-24 15:23:13
ac89753de997e591f39b79765fd9c342,72953848-057e-4fb7-815d-907819180cf0,2025-11-24,2025-11-24 14:50:39,random,"""approved""","""approved""","""UNS22LGIY""",2025-11-24 15:23:13
bd431b2182655666c3d77b13443c39de,72953848-057e-4fb7-815d-907819180cf0,2025-11-24,2025-11-24 14:50:39,random,"""approved""","""approved""","""UKA77QAYY""",2025-11-24 15:23:13
2a75ec8a34c89b6b853f479e1ed92947,f161521f-2172-4147-b816-380e3ac03c02,2025-07-15,2025-07-15 22:50:39,social,"""point_up""","""point_up""","""U3TE14ET2""",2025-07-15 23:03:39
9baf2752be961d1ca6ea0016ffe1f679,f161521f-2172-4147-b816-380e3ac03c02,2025-07-15,2025-07-15 22:50:39,social,"""point_up""","""point_up""","""UG6UG9470""",2025-07-15 23:03:39
e13213c89d36c8a2db33b4b697ead83d,f161521f-2172-4147-b816-380e3ac03c02,2025-07-15,2025-07-15 22:50:39,social,"""point_up""","""point_up""","""UE0WA7608""",2025-07-15 23:03:39
a3788a605f3730368549c30f83abafcd,f161521f-2172-4147-b816-380e3ac03c02,2025-07-15,2025-07-15 22:50:39,social,"""point_up""","""point_up""","""U91Q0A72O""",2025-07-15 23:03:39
5724adb5791838c558ec0190485521c2,f161521f-2172-4147-b816-380e3ac03c02,2025-07-15,2025-07-15 22:50:39,social,"""point_up""","""point_up""","""UJ65P6F44""",2025-07-15 23:03:39
ab8700799d7f65e6849c335740ec578e,f161521f-2172-4147-b816-380e3ac03c02,2025-07-15,2025-07-15 22:50:39,social,"""point_up""","""point_up""","""U378U76S4""",2025-07-15 23:03:39
99854bd1dc27eca16ff4682d9d3096a0,ebbf0a43-42cd-4a9b-89e3-0daeec467c3f,2024-10-17,2024-10-17 00:35:16,engineering,"""ty""","""ty""","""U91Q0A72O""",2024-10-17 01:23:08
b044ed564375531ef26717da724f1c60,93550d27-d6cc-4178-9b02-fd7fa5f5a4eb,2025-11-23,2025-11-23 16:03:01,cats,"""ty""","""ty""","""UYEP6YY91""",2025-11-23 16:30:43
8209382fd84c15ca965816433f69acfd,deba6c3d-b7b8-43d0-bbfc-742c815d9975,2024-06-18,2024-06-18 17:01:12,general,"""pray""","""pray""","""U0381889F""",2024-06-18 17:47:48
51313dea1dae2fda585525463c8bddd3,96270939-dfd6-4f4e-aa3b-1d09d7eed4a2,2024-10-31,2024-10-31 06:43:24,social,"""approved""","""approved""","""UV77JEL7Q""",2024-10-31 07:17:41
8446159ab45c4e738349fffecbedd746,96270939-dfd6-4f4e-aa3b-1d09d7eed4a2,2024-10-31,2024-10-31 06:43:24,social,"""approved""","""approved""","""ULWL32B29""",2024-10-31 07:17:41
307aaf32c9284985ae3c1606a7dc434f,96270939-dfd6-4f4e-aa3b-1d09d7eed4a2,2024-10-31,2024-10-31 06:43:24,social,"""approved""","""approved""","""U08ITMEA6""",2024-10-31 07:17:41
f2839249d91a294ba58047f93d584415,6c6d6992-ba32-450a-a93f-6732222cd679,2025-06-27,2025-06-27 14:11:26,marketing,"""ty""","""ty""","""U0GBC0N90""",2025-06-27 14:51:19
fa0a2f951dd198826d28416ea2cde830,6c6d6992-ba32-450a-a93f-6732222cd679,2025-06-27,2025-06-27 14:11:26,marketing,"""ty""","""ty""","""U85PB3J63""",2025-06-27 14:51:19
01888c5e27d44c98d2c71953c2ab3f61,6c6d6992-ba32-450a-a93f-6732222cd679,2025-06-27,2025-06-27 14:11:26,marketing,"""ty""","""ty""","""UWW10VL06""",2025-06-27 14:51:19
4c0b54c6866fd623ecac77ffd2d7fdf7,6c6d6992-ba32-450a-a93f-6732222cd679,2025-06-27,2025-06-27 14:11:26,marketing,"""ty""","""ty""","""UN0J0I7F0""",2025-06-27 14:51:19
f4ef76012a93b9d646a8bc147ab88ffa,6c6d6992-ba32-450a-a93f-6732222cd679,2025-06-27,2025-06-27 14:11:26,marketing,"""ty""","""ty""","""ULWL32B29""",2025-06-27 14:51:19
52eab5cd82f2f55c4c3d576fd9df8901,6c6d6992-ba32-450a-a93f-6732222cd679,2025-06-27,2025-06-27 14:11:26,marketing,"""ty""","""ty""","""UK4V3ON2O""",2025-06-27 14:51:19
cc47b3d2ab64fae665927d1ab1423113,6c6d6992-ba32-450a-a93f-6732222cd679,2025-06-27,2025-06-27 14:11:26,marketing,"""merged""","""merged""","""U549234TU""",2025-06-27 14:51:19
19726af4def079284db9c52760449307,07941fc7-cd12-4361-827b-537c86f528a2,2025-11-12,2025-11-12 17:54:45,engineering,"""point_up""","""point_up""","""UWL5JX23M""",2025-11-12 18:47:58
3bcba608ad6f2d69df28f509dd5012e3,b3c1fe8a-f26d-47d0-ae53-1ad370039f7d,2024-12-09,2024-12-09 12:51:57,general,"""approved""","""approved""","""UWL5JX23M""",2024-12-09 13:18:07
3424ceb01382a48da2eecf0c148073ad,4ae55cea-9569-4b46-a189-0c4788964799,2025-05-18,2025-05-18 18:41:07,marketing,"""laugh""","""laugh""","""UQY0NPYWN""",2025-05-18 18:49:48
4d1a8e01362816e59f7b0f9fabc393cd,4ae55cea-9569-4b46-a189-0c4788964799,2025-05-18,2025-05-18 18:41:07,marketing,"""laugh""","""laugh""","""U3U77Y17K""",2025-05-18 18:49:48
92e4f5b710b5d926ed0103b26cd09aef,4ae55cea-9569-4b46-a189-0c4788964799,2025-05-18,2025-05-18 18:41:07,marketing,"""laugh""","""laugh""","""UK839UQ5R""",2025-05-18 18:49:48
e92f24cb4742a3c02e3a0ada490d7b22,01e55e63-6a59-4eff-986b-1616852738cf,2025-06-24,2025-06-24 11:09:16,random,"""merged""","""merged""","""UORS33I12""",2025-06-24 11:57:04
d654eed4b3a654ab5e2f54117edfbcc6,721003d8-86f6-4f9e-acc0-1fa645689152,2024-11-24,2024-11-24 23:22:50,random,"""point_up""","""point_up""","""U3HY0BS3W""",2024-11-24 23:43:10
c409e7ae5298c80e923d5a2d810c26c6,721003d8-86f6-4f9e-acc0-1fa645689152,2024-11-24,2024-11-24 23:22:50,random,"""approved""","""approved""","""U6P582A60""",2024-11-24 23:43:10
44ac2308f4f63bbf74274079ac546730,721003d8-86f6-4f9e-acc0-1fa645689152,2024-11-24,2024-11-24 23:22:50,random,"""approved""","""approved""","""U3GY5K9EQ""",2024-11-24 23:43:10
7ad84fda9df7e2887be93378c80c5e7a,721003d8-86f6-4f9e-acc0-1fa645689152,2024-11-24,2024-11-24 23:22:50,random,"""approved""","""approved""","""UL92954KA""",2024-11-24 23:43:10
43ec3a576ec51fabefdbdfc14af4a978,721003d8-86f6-4f9e-acc0-1fa645689152,2024-11-24,2024-11-24 23:22:50,random,"""approved""","""approved""","""U8S28EIM6""",2024-11-24 23:43:10
99badd267b2cf463e459957b4c018f18,721003d8-86f6-4f9e-acc0-1fa645689152,2024-11-24,2024-11-24 23:22:50,random,"""approved""","""approved""","""UNY6WDI60""",2024-11-24 23:43:10
251e6e399d00be4942e5f08b6cc52f95,588f8ea0-bb97-49d0-9844-fd2261fec631,2024-08-01,2024-08-01 12:46:19,random,"""laugh""","""laugh""","""UEZMYV74R""",2024-08-01 13:06:07
98776e407a6723c2883191b2e468a040,588f8ea0-bb97-49d0-9844-fd2261fec631,2024-08-01,2024-08-01 12:46:19,random,"""laugh""","""laugh""","""UDC0ZA535""",2024-08-01 13:06:07
ff6583a2bb5745cf0ac23e9a25a37830,588f8ea0-bb97-49d0-9844-fd2261fec631,2024-08-01,2024-08-01 12:46:19,random,"""laugh""","""laugh""","""UC3Z15JC3""",2024-08-01 13:06:07
404cb3a27e50bfe567f615a76be279cc,588f8ea0-bb97-49d0-9844-fd2261fec631,2024-08-01,2024-08-01 12:46:19,random,"""laugh""","""laugh""","""ULWL32B29""",2024-08-01 13:06:07
fdcf45dc562cd88620b4f23b4f19a9a3,7b080ee2-2026-4393-9acd-8a6a4b18e894,2025-07-08,2025-07-08 10:44:02,marketing,"""approved""","""approved""","""U2QXC4ZNG""",2025-07-08 11:31:48
34b26701b872072ba27d6c50fe51f021,7b080ee2-2026-4393-9acd-8a6a4b18e894,2025-07-08,2025-07-08 10:44:02,marketing,"""point_up""","""point_up""","""U0EIW7DOX""",2025-07-08 11:31:48
59435a06886840857cbd8347f7ce20de,7b080ee2-2026-4393-9acd-8a6a4b18e894,2025-07-08,2025-07-08 10:44:02,marketing,"""point_up""","""point_up""","""UYEP6YY91""",2025-07-08 11:31:48
