HOST_ID,is_currently_superhost,acct_age_before_achieving_superhost,status_change_count,last_status_change_at
1581,false,3800,2,2025-01-01 00:00:00
2164,true,3806,2,2025-01-01 00:00:00
2217,true,2267,2,2025-01-01 00:00:00
3718,false,5475,2,2025-01-01 00:00:00
11622,false,951,2,2025-01-01 00:00:00
12360,true,2318,2,2025-01-01 00:00:00
12424,false,936,2,2025-01-01 00:00:00
15115,false,3437,2,2025-01-01 00:00:00
17391,true,5255,2,2025-01-01 00:00:00
22901,false,3983,2,2025-01-01 00:00:00
32299,false,929,2,2025-01-01 00:00:00
32918,false,2650,2,2025-01-01 00:00:00
33355,false,4020,2,2025-01-01 00:00:00
33852,false,3229,2,2025-01-01 00:00:00
35103,false,2371,2,2025-01-01 00:00:00
48159,false,1824,2,2025-01-01 00:00:00
54283,true,4844,2,2025-01-01 00:00:00
55531,true,4948,2,2025-01-01 00:00:00
60495,false,946,2,2025-01-01 00:00:00
64696,false,5116,2,2025-01-01 00:00:00
68997,false,5227,2,2025-01-01 00:00:00
71331,false,4268,2,2025-01-01 00:00:00
71913,false,3469,2,2025-01-01 00:00:00
73158,false,2352,2,2025-01-01 00:00:00
84157,false,3101,2,2025-01-01 00:00:00
86159,false,4811,2,2025-01-01 00:00:00
86173,false,4744,2,2025-01-01 00:00:00
87357,true,4833,2,2025-01-01 00:00:00
94918,false,5120,2,2025-01-01 00:00:00
98237,false,2219,2,2025-01-01 00:00:00
99662,false,5005,2,2025-01-01 00:00:00
102461,true,2803,2,2025-01-01 00:00:00
109039,false,937,2,2025-01-01 00:00:00
112168,false,2532,2,2025-01-01 00:00:00
112675,true,4899,2,2025-01-01 00:00:00
119815,false,2160,2,2025-01-01 00:00:00
133204,false,2925,2,2025-01-01 00:00:00
134583,false,2843,2,2025-01-01 00:00:00
143180,false,5038,2,2025-01-01 00:00:00
145583,false,2782,2,2025-01-01 00:00:00
145808,false,4492,2,2025-01-01 00:00:00
147778,false,3617,2,2025-01-01 00:00:00
149093,true,3652,2,2025-01-01 00:00:00
151200,true,1779,2,2025-01-01 00:00:00
151248,true,4593,2,2025-01-01 00:00:00
156897,false,4277,2,2025-01-01 00:00:00
158127,false,2703,2,2025-01-01 00:00:00
159734,false,5063,2,2025-01-01 00:00:00
160191,false,2801,2,2025-01-01 00:00:00
161221,true,2826,2,2025-01-01 00:00:00
161823,false,2883,2,2025-01-01 00:00:00
161864,false,1738,2,2025-01-01 00:00:00
162648,true,1864,2,2025-01-01 00:00:00
163384,false,5017,2,2025-01-01 00:00:00
164321,false,2134,2,2025-01-01 00:00:00
166294,false,929,2,2025-01-01 00:00:00
171057,false,3674,2,2025-01-01 00:00:00
174970,false,4453,2,2025-01-01 00:00:00
179110,false,5043,2,2025-01-01 00:00:00
179872,false,3540,2,2025-01-01 00:00:00
186851,true,4734,2,2025-01-01 00:00:00
187941,false,2998,2,2025-01-01 00:00:00
194957,false,5003,2,2025-01-01 00:00:00
196413,false,3449,2,2025-01-01 00:00:00
201786,false,1069,2,2025-01-01 00:00:00
201936,true,3652,2,2025-01-01 00:00:00
203248,false,954,2,2025-01-01 00:00:00
204484,false,1711,2,2025-01-01 00:00:00
206108,false,3308,2,2025-01-01 00:00:00
206338,true,4180,2,2025-01-01 00:00:00
213446,false,2547,2,2025-01-01 00:00:00
214527,false,3688,2,2025-01-01 00:00:00
218479,false,5007,2,2025-01-01 00:00:00
228016,false,4365,2,2025-01-01 00:00:00
234391,false,931,2,2025-01-01 00:00:00
235351,true,1946,2,2025-01-01 00:00:00
239309,false,3177,2,2025-01-01 00:00:00
245517,false,2059,2,2025-01-01 00:00:00
246313,false,3075,2,2025-01-01 00:00:00
246684,false,942,2,2025-01-01 00:00:00
246890,true,4292,2,2025-01-01 00:00:00
248690,false,2482,2,2025-01-01 00:00:00
249501,false,4750,2,2025-01-01 00:00:00
254200,false,1064,2,2025-01-01 00:00:00
261488,false,4068,2,2025-01-01 00:00:00
264020,false,3563,2,2025-01-01 00:00:00
264072,true,3953,2,2025-01-01 00:00:00
265689,false,950,2,2025-01-01 00:00:00
269771,false,2000,2,2025-01-01 00:00:00
272316,false,5082,2,2025-01-01 00:00:00
276540,true,3934,2,2025-01-01 00:00:00
280605,false,3239,2,2025-01-01 00:00:00
281614,true,4513,2,2025-01-01 00:00:00
282786,false,2752,2,2025-01-01 00:00:00
286494,false,4413,2,2025-01-01 00:00:00
296424,false,4120,2,2025-01-01 00:00:00
297078,true,3285,2,2025-01-01 00:00:00
302404,false,945,2,2025-01-01 00:00:00
308290,false,2307,2,2025-01-01 00:00:00
308441,false,4340,2,2025-01-01 00:00:00
309364,true,2804,1,2024-06-01 00:00:00
