message_id,user_id,channel_name,reply_count,reply_users_count,reply_users,reactions,message_date,message_datetime,extracted_datetime
2e2e77b7-4b96-417b-bec2-2942cde6debd,U0381889F,general,26,3,"[""UCL2RJ89X"",""UKA77QAYY"",""U0KG42Q0P""]","[{""name"": ""pray"", ""users"": [""U2XQ3JJAN"", ""UNNH8IW78""], ""count"": 2}, {""name"": ""this"", ""users"": [""U2XQ3JJAN"", ""UFUV7GPHM"", ""UG6UG9470""], ""count"": 3}, {""name"": ""point_up"", ""users"": [""UHGL04640""], ""count"": 1}, {""name"": ""approved"", ""users"": [""UNNH8IW78""], ""count"": 1}]",2024-08-15,2024-08-15 00:16:33,2024-08-15 00:52:24
995d69b9-6c6f-4952-bf8d-d90f3833ba36,UEA8H90WN,general,30,22,"[""U3HY0BS3W"",""U7W96XW2A"",""UC3Z15JC3"",""U6P582A60"",""UZ90K3JDW"",""UB51ZBPGJ"",""UNNH8IW78"",""U08ITMEA6"",""USI1BH3K3"",""U3GY5K9EQ"",""U0381889F"",""UIX8TSI0Y"",""U85PB3J63"",""UNVWFC5Q1"",""UYJ494VWS"",""UEA8H90WN"",""U1FM88J9J"",""UU6K92DUR"",""UZ5125Y28"",""U2M260029"",""UNC2V4ZD7"",""UPT27H737""]","[{""name"": ""laugh"", ""users"": [""U81OT695K""], ""count"": 1}]",2025-06-20,2025-06-20 05:02:24,2025-06-20 05:18:35
a66f9ac0-1bd4-4d12-826f-f8e1988b502a,UJ65P6F44,marketing,33,12,"[""UN979RN92"",""U3O3NUM10"",""U81OT695K"",""UWW10VL06"",""USI1BH3K3"",""UFF1HYHJ2"",""U9YFOYM78"",""U2M260029"",""UDC0ZA535"",""UP9T7VJBF"",""U7PX1XVTE"",""U7W96XW2A""]","[{""name"": ""pray"", ""users"": [""UKVN1ZI1Z""], ""count"": 1}, {""name"": ""laugh"", ""users"": [""UB81I8027""], ""count"": 1}, {""name"": ""raised_hands"", ""users"": [""UL96240J4""], ""count"": 1}]",2025-11-19,2025-11-19 15:52:39,2025-11-19 15:55:25
bd67bd8f-d00e-4825-850d-f582d2bbba47,UL9VWQ9S2,marketing,40,30,"[""UV77JEL7Q"",""U7PX1XVTE"",""U0381889F"",""U0EIW7DOX"",""UA3IV9419"",""UG6UG9470"",""UL92954KA"",""U4095YWYD"",""U549234TU"",""UYEP6YY91"",""U91Q0A72O"",""UWBXBIUB7"",""US3QTX4Z1"",""U0D6182AR"",""UOBK5OFZ0"",""UE83A3954"",""UPT27H737"",""UV4M04Y17"",""UL96240J4"",""UN0J0I7F0"",""UIX8TSI0Y"",""UCL2RJ89X"",""UORS33I12"",""UIDQ8QXI5"",""UK756E555"",""UZ90K3JDW"",""UFF1HYHJ2"",""UNC2V4ZD7"",""UK4V3ON2O"",""U3HY0BS3W""]","[{""name"": ""point_up"", ""users"": [""UG6UG9470"", ""USI1BH3K3""], ""count"": 2}]",2025-10-03,2025-10-03 06:42:33,2025-10-03 07:28:01
0bcffd89-1b0d-4fcd-9144-c7d0c462806d,UFUV7GPHM,engineering,39,28,"[""UZ271WU40"",""UORS33I12"",""UK839UQ5R"",""UNS22LGIY"",""U85PB3J63"",""U3O3NUM10"",""UHGL04640"",""UL96240J4"",""U91Q0A72O"",""ULWL32B29"",""U34AX16M0"",""UB81I8027"",""UL92954KA"",""UNY6WDI60"",""U378U76S4"",""USI1BH3K3"",""U2XQ3JJAN"",""UV77JEL7Q"",""UQSF747QR"",""U08ITMEA6"",""UZ5125Y28"",""UP9T7VJBF"",""UWL5JX23M"",""UZ90K3JDW"",""UDC0ZA535"",""U3HY0BS3W"",""U9YFOYM78"",""UNVWFC5Q1""]","[{""name"": ""this"", ""users"": [""UEA8H90WN"", ""UOBK5OFZ0"", ""UYJ494VWS""], ""count"": 3}, {""name"": ""laugh"", ""users"": [""U549234TU"", ""U96N45CL2""], ""count"": 2}]",2025-08-23,2025-08-23 13:18:11,2025-08-23 13:57:41
59987703-7561-4565-b7f7-86a23e276d45,UQY0NPYWN,social,13,6,"[""UV77JEL7Q"",""U3GY5K9EQ"",""U0GBC0N90"",""U91Q0A72O"",""U84A3Q05B"",""UH1039P7I""]",[],2024-10-31,2024-10-31 14:34:47,2024-10-31 15:07:00
6c6d6992-ba32-450a-a93f-6732222cd679,ULRS0HVJ3,marketing,30,29,"[""UF39WLXAT"",""UNY6WDI60"",""UWBXBIUB7"",""U2M260029"",""U08ITMEA6"",""UYJ494VWS"",""U1FM88J9J"",""UH1039P7I"",""UB9LLF16J"",""UNNH8IW78"",""U2QXC4ZNG"",""UV77JEL7Q"",""UEZMYV74R"",""UCL2RJ89X"",""U9E255NN9"",""U81OT695K"",""UFUV7GPHM"",""UQY0NPYWN"",""U0GBC0N90"",""U3TE14ET2"",""UB51ZBPGJ"",""U378U76S4"",""U84A3Q05B"",""U2XQ3JJAN"",""UU6K92DUR"",""UZ5125Y28"",""UH749DC04"",""UK4V3ON2O"",""U9YFOYM78""]","[{""name"": ""approved"", ""users"": [""U2XQ3JJAN"", ""U0KG42Q0P"", ""U3O3NUM10""], ""count"": 3}, {""name"": ""ty"", ""users"": [""U0GBC0N90"", ""U85PB3J63"", ""UWW10VL06"", ""UN0J0I7F0"", ""ULWL32B29"", ""UK4V3ON2O""], ""count"": 6}, {""name"": ""merged"", ""users"": [""U549234TU""], ""count"": 1}]",2025-06-27,2025-06-27 14:11:26,2025-06-27 14:51:19
706ae628-c4b0-4fa9-843d-6967efe80a45,UYJ494VWS,cats,47,26,"[""ULRS0HVJ3"",""UEZMYV74R"",""UB9LLF16J"",""UNNH8IW78"",""UH749DC04"",""U306GEBY8"",""UDC0ZA535"",""UHGL04640"",""U0GBC0N90"",""U84A3Q05B"",""UKA77QAYY"",""UL2989703"",""U2QXC4ZNG"",""UP9T7VJBF"",""USI1BH3K3"",""UK839UQ5R"",""U378U76S4"",""U7ZP08017"",""U168N7Y9G"",""UKVN1ZI1Z"",""U3U77Y17K"",""UEA8H90WN"",""U0KG42Q0P"",""UE0WA7608"",""U1FM88J9J"",""UWL5JX23M""]",[],2025-09-03,2025-09-03 21:53:51,2025-09-03 22:32:46
75801b2e-32cb-466a-bad0-090058878535,UEZMYV74R,general,40,1,"[""UEA8H90WN""]",[],2024-08-04,2024-08-04 01:30:12,2024-08-04 01:35:02
82e710eb-abbc-450c-b8a9-e341d5b063a7,UP9T7VJBF,engineering,46,27,"[""UWW10VL06"",""UOBK5OFZ0"",""US3QTX4Z1"",""UE83A3954"",""UV77JEL7Q"",""U5V38TNV1"",""U3TE14ET2"",""UYJ494VWS"",""UK839UQ5R"",""U549234TU"",""U24SJD0U3"",""UB51ZBPGJ"",""UYEP6YY91"",""U306GEBY8"",""UL9VWQ9S2"",""UY640917T"",""U85PB3J63"",""UIX8TSI0Y"",""UKA77QAYY"",""UC3Z15JC3"",""UK4V3ON2O"",""U2XQ3JJAN"",""UNC2V4ZD7"",""UNS22LGIY"",""UIDQ8QXI5"",""U4095YWYD"",""UB9LLF16J""]","[{""name"": ""white_check_mark"", ""users"": [""USI1BH3K3""], ""count"": 1}, {""name"": ""raised_hands"", ""users"": [""UNVWFC5Q1"", ""UO513ARUP""], ""count"": 2}, {""name"": ""this"", ""users"": [""ULWL32B29"", ""UB81I8027"", ""UL92954KA""], ""count"": 3}, {""name"": ""pray"", ""users"": [""UNNH8IW78""], ""count"": 1}, {""name"": ""approved"", ""users"": [""UF39WLXAT""], ""count"": 1}]",2024-10-10,2024-10-10 16:14:26,2024-10-10 16:51:11
